Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
HD_179315,HD 179315,2MASS_J19120076+0421557,2MASS J19120076+0421557,19,12,00.7622,04,21,55.658,J2000,10.78
HIP_96596,HIP 96596,2MASS_J19382237+3226526,2MASS J19382237+3226526,19,38,22.3710,32,26,52.706,J2000,11.12
HD_198726,HD 198726,HD_335264,HD 335264,20,51,30.5856,28,18,03.269,J2000,9.96
HD_354511,HD 354511,HD_354510,HD 354510,20,01,03.1961,15,43,23.852,J2000,9.77
2MASS_J20455979+4518250,2MASS J20455979+4518250,2MASS_J20460432+4516298,2MASS J20460432+4516298,20,46,04.3254,45,16,29.850,J2000,9.64
HD_331970,HD 331970,2MASS_J20124067+3248170,2MASS J20124067+3248170,20,12,40.6694,32,48,16.965,J2000,11.6
HIP_101035,HIP 101035,2MASS_J20290669+3410162,2MASS J20290669+3410162,20,29,06.6918,34,10,16.172,J2000,11.18
HD_227959,HD 227959,HD_227913,HD 227913,20,08,43.5470,37,10,38.824,J2000,9.96
HIP_103241,HIP 103241,2MASS_J20543754+4729032,2MASS J20543754+4729032,20,54,37.5389,47,29,03.255,J2000,11.42
2MASS_J20052066+3239327,2MASS J20052066+3239327,2MASS_J20052891+3241422,2MASS J20052891+3241422,20,05,28.9169,32,41,42.273,J2000,12.563
HIP_98675,HIP 98675,2MASS_J20021819+0042448,2MASS J20021819+0042448,20,02,18.1921,00,42,44.879,J2000,10.85
HIP_99887,HIP 99887,2MASS_J20154120+3503226,2MASS J20154120+3503226,20,15,41.2140,35,03,22.677,J2000,10.92
HD_201078,HD 201078,2MASS_J21060938+3111114,2MASS J21060938+3111114,21,06,09.3881,31,11,11.379,J2000,10.45
HD_203156,HD 203156,2MASS_J21191285+3809479,2MASS J21191285+3809479,21,19,12.8584,38,09,47.895,J2000,8.86
HIP_104002,HIP 104002,2MASS_J21040189+3954020,2MASS J21040189+3954020,21,04,01.9038,39,54,01.962,J2000,10.99
HIP_107899,HIP 107899,2MASS_J21515297+4308419,2MASS J21515297+4308419,21,51,52.9807,43,08,41.904,J2000,11.58
HIP_104877,HIP 104877,HD_202491,HD 202491,21,14,53.6441,41,38,42.661,J2000,8.56
HIP_104564,HIP 104564,2MASS_J21111754+4907227,2MASS J21111754+4907227,21,11,17.5456,49,07,22.819,J2000,11.34
HIP_106754,HIP 106754,2MASS_J21374595+5149541,2MASS J21374595+5149541,21,37,45.9602,51,49,54.151,J2000,10.39
2MASS_J21324042+4912450,2MASS J21324042+4912450,2MASS_J21324289+4918331,2MASS J21324289+4918331,21,32,42.8833,49,18,33.077,J2000,11.82
2MASS_J21340347+5318363,2MASS J21340347+5318363,2MASS_J21334199+5316089,2MASS J21334199+5316089,21,33,41.9855,53,16,08.909,J2000,11.83
